,name,group,value
5,Burundi,1,61.25
10,South Sudan,2,57.6
11,Tanzania,2,65.02
16,Yemen,2,66.1
19,Rwanda,2,68.7
22,Syria,2,71.78
29,Liberia,2,63.73
34,Haiti,2,63.66
36,Malawi,2,63.8
37,Botswana,2,69.28
44,Afghanistan,2,64.49
52,Zimbabwe,2,61.2
59,Madagascar,2,66.68
63,Angola,2,60.78
67,Lesotho,2,53.7
82,Guinea,2,61.18
88,Togo,2,60.76
99,Ukraine,3,71.95
105,Sudan,3,65.1
107,Benin,3,77.16
109,Uganda,3,62.97
111,Niger,3,62.02
114,India,3,69.42
133,Chad,3,53.98
135,Myanmar,3,66.87
137,Armenia,3,76.52
141,Georgia,3,73.6
144,Ethiopia,3,71.82
146,Mauritania,3,58.89
153,Zambia,3,63.51
157,Kenya,3,66.34
159,Mozambique,3,76.77
160,Egypt,3,71.82
162,Burkina Faso,3,61.17
163,Cambodia,3,69.57
167,Namibia,3,63.37
168,Mali,3,58.89
170,Iraq,3,70.45
176,Sri Lanka,3,76.81
179,Bangladesh,3,72.32
197,Congo (Brazzaville),3,64.29
200,Sierra Leone,3,54.31
205,Albania,3,78.46
207,Tunisia,3,76.5
210,Laos,3,67.61
212,Senegal,3,67.67
220,Ghana,3,63.78
230,Iran,3,76.48
237,South Africa,3,63.86
240,Palestinian Territories,3,73.9
242,Gabon,3,66.19
252,Venezuela,3,72.13
264,Nepal,3,70.48
272,Bulgaria,3,74.93
279,Cameroon,3,58.92
295,Bhutan,4,72.32
297,Indonesia,4,71.51
300,Vietnam,4,75.32
305,Mongolia,4,69.69
306,Bosnia and Herzegovina,4,77.26
309,Kyrgyzstan,4,71.32
315,Nigeria,4,54.33
316,Jordan,4,74.4
325,Macedonia,4,75.69
335,Tajikistan,4,70.88
336,Azerbaijan,4,72.86
348,China,4,76.7
352,Morocco,4,69.69
366,Algeria,4,76.69
367,Dominican Republic,4,73.89
371,Croatia,4,80.1
377,Montenegro,4,76.77
378,Greece,4,82.07
379,Lebanon,4,78.88
385,Serbia,4,75.85
388,Portugal,4,81.86
392,Hong Kong,4,84.69
398,Pakistan,4,67.11
401,Belarus,4,77.16
402,Turkey,4,77.44
406,Honduras,4,75.09
410,Philippines,4,71.1
419,Libya,4,72.72
426,Hungary,4,76.7
430,Turkmenistan,4,68.07
431,Moldova,4,74.99
436,Kosovo,4,
437,Peru,4,76.52
438,Paraguay,4,74.13
445,Estonia,4,76.8
448,Bolivia,4,71.24
453,Cyprus,4,80.83
457,Kazakhstan,4,73.24
461,Russia,4,72.39
482,South Korea,4,82.85
488,Jamaica,4,74.37
490,Mauritius,4,82.38
495,Japan,4,84.47
499,Latvia,4,75.17
501,Romania,4,75.92
503,Slovenia,4,81.17
504,Lithuania,4,75.74
509,Ecuador,4,76.8
519,Italy,5,83.35
531,Thailand,5,76.93
533,Kuwait,5,75.4
538,Uzbekistan,5,71.57
541,Bahrain,5,77.16
546,Poland,5,78.54
549,Nicaragua,5,74.28
551,El Salvador,5,73.89
552,Slovakia,5,77.39
561,Colombia,5,77.11
568,Spain,5,83.43
570,Malaysia,5,76.0
573,Singapore,5,83.46
579,Saudi Arabia,5,75.0
580,Qatar,5,80.1
586,Uruguay,5,77.77
587,Guatemala,5,74.06
588,Argentina,5,76.52
591,Brazil,5,75.67
595,Panama,5,78.33
597,Taiwan(China),5,80.28
606,Chile,5,80.04
612,Mexico,5,74.99
613,France,5,82.54
628,Malta,5,82.38
636,Czech Republic,5,79.22
642,United Arab Emirates,5,77.81
647,Israel,5,82.82
653,United States,5,78.85
658,Luxembourg,5,82.1
660,Belgium,5,72.32
667,Germany,5,81.18
668,Ireland,5,82.1
677,Costa Rica,6,80.1
684,Austria,6,81.43
688,United Kingdom,6,81.24
695,Australia,6,83.28
705,Sweden,6,82.65
708,New Zealand,6,82.14
709,Canada,6,82.32
720,Netherlands,6,82.14
723,Switzerland,6,83.63
727,Iceland,6,82.86
738,Denmark,6,80.78
741,Norway,6,82.27
743,Finland,6,81.74
