,name,group,value
4,Burundi,1,60.53
7,Syria,2,70.32
12,Togo,2,60.22
17,Afghanistan,2,63.76
26,Benin,2,76.9
31,Rwanda,2,67.93
42,Guinea,2,60.17
43,Liberia,2,62.8
49,Tanzania,2,63.84
53,Madagascar,2,65.93
54,Yemen,2,66.09
55,Burkina Faso,2,60.35
56,Uganda,2,61.99
57,Chad,2,53.44
71,South Sudan,2,57.12
73,Niger,2,61.14
74,Angola,2,59.92
78,Cambodia,2,68.98
84,Botswana,2,68.18
91,Haiti,3,62.9
94,Mali,3,57.99
102,Gabon,3,65.42
104,Sudan,3,64.66
108,Malawi,3,62.68
116,Zimbabwe,3,60.29
118,Mauritania,3,57.99
119,Bulgaria,3,74.7
121,Senegal,3,67.08
122,Congo (Brazzaville),3,63.56
124,Georgia,3,73.21
126,Ghana,3,63.12
138,Ukraine,3,71.71
145,Kenya,3,65.39
147,Armenia,3,76.22
149,Egypt,3,71.48
155,Myanmar,3,66.2
156,India,3,68.9
158,Sri Lanka,3,76.48
171,South Africa,3,63.15
181,Ethiopia,3,71.48
184,Cameroon,3,58.06
203,Namibia,3,62.62
204,Iraq,3,70.12
214,Sierra Leone,3,53.44
217,Bangladesh,3,71.78
219,Albania,3,78.19
241,Palestinian Territories,3,73.59
246,Nepal,3,69.85
247,Zambia,3,62.46
254,Iran,3,76.05
258,Honduras,3,74.7
260,Nigeria,3,53.54
262,Laos,3,66.92
268,Lesotho,3,52.06
270,Mongolia,3,69.32
278,Mozambique,3,76.57
281,Tajikistan,3,70.4
287,Greece,4,81.73
290,Tunisia,4,76.11
291,Vietnam,4,75.17
301,Macedonia,4,75.5
302,Portugal,4,81.44
307,Lebanon,4,78.8
310,Pakistan,4,66.77
312,Hungary,4,76.27
313,Morocco,4,69.32
314,Dominican Republic,4,73.47
317,Montenegro,4,76.57
318,Bosnia and Herzegovina,4,77.0
321,Serbia,4,75.5
324,Kyrgyzstan,4,71.05
333,Bhutan,4,71.78
347,China,4,76.21
360,Philippines,4,70.8
364,Azerbaijan,4,72.49
368,Jordan,4,74.18
370,Indonesia,4,71.04
383,Turkey,4,76.86
387,Kosovo,4,
395,Hong Kong,4,84.28
403,Croatia,4,79.74
407,Jamaica,4,74.18
408,Estonia,4,76.36
413,Romania,4,75.64
415,Paraguay,4,73.84
416,Cyprus,4,80.51
418,Latvia,4,74.91
425,Libya,4,72.31
432,Mauritius,4,82.06
435,Turkmenistan,4,67.83
447,Peru,4,76.04
454,Slovenia,4,80.85
459,Belarus,4,76.9
463,Lithuania,4,75.24
465,Bolivia,4,70.63
472,Poland,4,78.11
473,South Korea,4,82.38
479,Russia,4,71.83
493,Moldova,4,74.92
496,Kazakhstan,4,72.08
498,Japan,4,84.09
512,Ecuador,4,76.36
513,Italy,4,83.01
516,Uzbekistan,4,71.17
517,Nicaragua,4,73.86
522,Malaysia,5,75.65
528,El Salvador,5,73.47
532,Slovakia,5,77.03
534,Venezuela,5,72.4
557,Bahrain,5,76.9
559,Kuwait,5,75.22
571,Guatemala,5,73.54
576,Algeria,5,76.3
578,Spain,5,83.14
582,Qatar,5,79.87
585,Saudi Arabia,5,74.76
592,Taiwan(China),5,79.93
605,Thailand,5,76.4
608,France,5,82.33
609,Colombia,5,76.73
611,Malta,5,82.06
616,Uruguay,5,77.5
618,United Arab Emirates,5,77.47
624,Czech Republic,5,78.88
631,Argentina,5,76.22
634,Panama,5,77.96
635,Chile,5,79.78
638,United Kingdom,5,81.11
640,Singapore,5,83.08
643,Mexico,5,74.92
652,Luxembourg,5,81.8
657,Ireland,5,81.61
661,Belgium,5,71.78
666,Brazil,5,75.23
673,Germany,5,80.9
679,Costa Rica,6,79.74
681,United States,6,78.89
682,Austria,6,81.26
694,Israel,6,82.5
702,Sweden,6,82.38
704,Australia,6,82.96
710,New Zealand,6,81.86
711,Netherlands,6,81.86
716,Canada,6,82.12
718,Finland,6,81.38
728,Norway,6,82.03
729,Iceland,6,82.6
731,Switzerland,6,83.31
734,Denmark,6,80.58
