,name,group,value
0,Togo,1,59.93
3,Burundi,1,60.12
6,Syria,2,69.91
14,Benin,2,76.76
24,Rwanda,2,67.45
33,Afghanistan,2,63.38
35,Burkina Faso,2,59.92
46,Guinea,2,59.6
50,Chad,2,53.14
51,Madagascar,2,65.54
61,Tanzania,2,63.11
69,Cambodia,2,68.64
70,South Sudan,2,56.86
72,Niger,2,60.63
76,Gabon,2,64.91
77,Senegal,2,66.75
79,Uganda,2,61.37
86,Congo (Brazzaville),2,63.1
87,Mali,2,57.51
93,Angola,3,59.4
95,Yemen,3,66.08
117,Egypt,3,71.3
120,Bulgaria,3,74.58
123,Cameroon,3,57.58
125,Sri Lanka,3,76.32
131,Malawi,3,61.95
132,Georgia,3,72.97
134,Myanmar,3,65.81
139,Botswana,3,67.34
142,Armenia,3,76.07
161,Kenya,3,64.8
164,Mauritania,3,57.51
180,Sierra Leone,3,52.94
183,Ethiopia,3,71.3
186,Nepal,3,69.52
187,Haiti,3,62.48
193,Sudan,3,64.43
198,India,3,68.61
199,Liberia,3,62.27
202,Namibia,3,62.12
209,Zimbabwe,3,59.53
213,Ghana,3,62.77
216,South Africa,3,62.65
221,Iraq,3,69.93
223,Ukraine,3,71.54
224,Iran,3,75.8
226,Bangladesh,3,71.51
234,Palestinian Territories,3,73.44
239,Tunisia,3,75.92
244,Tajikistan,3,70.14
245,Honduras,3,74.5
250,Hungary,3,76.01
256,Lebanon,3,78.77
257,Greece,3,81.55
259,Mongolia,3,69.11
261,Laos,3,66.55
266,Dominican Republic,3,73.24
267,Lesotho,3,51.04
273,Bosnia and Herzegovina,3,76.86
275,Albania,3,78.03
277,Mozambique,3,76.45
283,Macedonia,4,75.41
286,Morocco,4,69.11
292,Philippines,4,70.64
298,Latvia,4,74.73
299,Portugal,4,81.22
303,Serbia,4,75.31
304,Romania,4,75.48
308,Zambia,4,61.74
311,China,4,75.93
329,Jordan,4,74.08
330,Montenegro,4,76.45
331,Pakistan,4,66.58
340,Azerbaijan,4,72.27
351,Bhutan,4,71.51
356,Nigeria,4,53.11
362,Kyrgyzstan,4,70.88
374,Turkey,4,76.53
380,Vietnam,4,75.11
386,Indonesia,4,70.77
390,Estonia,4,76.14
399,Hong Kong,4,84.04
400,Mauritius,4,81.9
417,Turkmenistan,4,67.7
421,Kosovo,4,
423,Algeria,4,76.09
439,Cyprus,4,80.35
442,Jamaica,4,74.1
444,Russia,4,71.46
449,Libya,4,72.12
452,Croatia,4,79.56
455,Malaysia,4,75.46
458,Poland,4,77.86
462,Belarus,4,76.76
468,Peru,4,75.79
470,Nicaragua,4,73.65
471,Lithuania,4,74.92
476,Slovenia,4,80.67
478,Kazakhstan,4,71.32
483,Paraguay,4,73.66
486,Moldova,4,74.9
487,Bolivia,4,70.28
502,Italy,4,82.83
505,Bahrain,4,76.76
511,Ecuador,4,76.14
514,South Korea,4,82.1
515,Japan,4,83.88
518,Slovakia,4,76.83
521,Uzbekistan,5,70.93
545,Guatemala,5,73.25
548,El Salvador,5,73.24
564,Kuwait,5,75.13
565,Taiwan(China),5,79.74
567,Malta,5,81.9
572,Spain,5,82.98
590,Saudi Arabia,5,74.65
604,Thailand,5,76.09
607,Colombia,5,76.53
610,Uruguay,5,77.37
614,Czech Republic,5,78.69
619,Argentina,5,76.07
620,France,5,82.22
627,Qatar,5,79.76
633,Chile,5,79.65
641,Germany,5,80.77
644,Panama,5,77.78
645,Singapore,5,82.88
646,Venezuela,5,72.58
651,United Kingdom,5,81.05
656,United Arab Emirates,5,77.28
662,Belgium,5,71.51
663,Ireland,5,81.34
664,Luxembourg,5,81.64
670,Brazil,5,74.99
683,United States,6,78.91
687,Mexico,6,74.9
689,Austria,6,81.18
691,Costa Rica,6,79.56
697,Israel,6,82.34
700,Australia,6,82.79
701,New Zealand,6,81.71
713,Sweden,6,82.25
715,Netherlands,6,81.72
717,Finland,6,81.2
719,Canada,6,82.03
733,Norway,6,81.91
735,Denmark,6,80.47
739,Iceland,6,82.48
740,Switzerland,6,83.14
